"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"22.03.2024","5.234,18","5.242,48","5.246,09","5.229,87","","-0,14%"
"21.03.2024","5.241,53","5.253,43","5.261,10","5.240,66","","0,32%"
"20.03.2024","5.224,62","5.181,69","5.226,19","5.171,55","","0,89%"
"19.03.2024","5.178,51","5.139,09","5.180,31","5.131,59","","0,56%"
"18.03.2024","5.149,42","5.154,77","5.175,60","5.145,47","","0,63%"
"15.03.2024","5.117,09","5.123,31","5.136,86","5.104,35","","-0,65%"
"14.03.2024","5.150,48","5.175,14","5.176,85","5.123,30","","-0,29%"
"13.03.2024","5.165,31","5.173,49","5.179,14","5.151,88","","-0,19%"
"12.03.2024","5.175,27","5.134,30","5.179,87","5.114,48","","1,12%"
"11.03.2024","5.117,94","5.111,96","5.124,66","5.091,14","","-0,11%"
"08.03.2024","5.123,69","5.164,46","5.189,26","5.117,50","","-0,65%"
"07.03.2024","5.157,36","5.132,38","5.165,62","5.128,21","","1,03%"
"06.03.2024","5.104,76","5.108,03","5.127,97","5.092,22","","0,51%"
"05.03.2024","5.078,65","5.110,52","5.114,54","5.056,82","","-1,02%"
"04.03.2024","5.130,95","5.130,99","5.149,67","5.127,18","","-0,12%"
"01.03.2024","5.137,08","5.098,51","5.140,33","5.094,16","","0,80%"
"29.02.2024","5.096,27","5.085,36","5.104,99","5.061,89","","0,52%"
"28.02.2024","5.069,76","5.067,20","5.077,37","5.058,35","","-0,17%"
"27.02.2024","5.078,18","5.074,60","5.080,69","5.057,29","","0,17%"
"26.02.2024","5.069,53","5.093,00","5.097,66","5.068,91","","-0,38%"
"23.02.2024","5.088,80","5.100,92","5.111,06","5.081,46","","0,03%"
"22.02.2024","5.087,03","5.038,83","5.094,39","5.038,83","","2,11%"
"21.02.2024","4.981,80","4.963,03","4.983,21","4.946,00","","0,13%"
"20.02.2024","4.975,51","4.989,32","4.993,71","4.955,02","","-0,60%"
"16.02.2024","5.005,57","5.031,13","5.038,70","4.999,52","","-0,48%"
"15.02.2024","5.029,73","5.003,14","5.032,72","4.999,44","","0,58%"
"14.02.2024","5.000,62","4.976,44","5.002,52","4.956,45","","0,96%"
"13.02.2024","4.953,17","4.967,94","4.971,30","4.920,31","","-1,37%"
"12.02.2024","5.021,84","5.026,83","5.048,39","5.016,83","","-0,09%"
